date,load
12/18/2009,7316.02
12/18/2009,7568.68
12/18/2009,8051.29
12/18/2009,8598.95
12/18/2009,9035.95
12/18/2009,9544.29
12/18/2009,9795.14
12/18/2009,10025.4
12/18/2009,10276.24
12/18/2009,10435.12
12/18/2009,10444.04
12/18/2009,10454.33
12/18/2009,10429.4
12/18/2009,10346.48
12/18/2009,10241.45
12/18/2009,10144.39
12/18/2009,10005.01
12/18/2009,9821.61
12/18/2009,9827.68
12/18/2009,9729.62
12/18/2009,9620.06
12/18/2009,9556.03
12/18/2009,9546.86
12/18/2009,9595.48
12/18/2009,9514.61
12/18/2009,9432.18
12/18/2009,9183.95
12/18/2009,9034.41
12/18/2009,8873.51
12/18/2009,8724.17
12/18/2009,8688.28
12/18/2009,8723.84
12/18/2009,8578.34
12/18/2009,8376.68
12/18/2009,8442.81
12/18/2009,8351.37
12/18/2009,8351.69
12/18/2009,8236.82
12/18/2009,8023.52
12/19/2009,7839.99
12/19/2009,7566.67
12/19/2009,7320.77
12/19/2009,7004.31
12/19/2009,6727.16
12/19/2009,6480.24
12/19/2009,6356.01
12/19/2009,6343.53
12/19/2009,6354.69
12/19/2009,6466.11
12/19/2009,6470.32
12/19/2009,6730.4
12/19/2009,7029.39
12/19/2009,7317.43
12/19/2009,7726.04
12/19/2009,8064.52
12/19/2009,8472.44
12/19/2009,8855.89
12/19/2009,9050.06
12/19/2009,9145.95
12/19/2009,9166.95
12/19/2009,9168.29
12/19/2009,9137.3
12/19/2009,9200.98
12/19/2009,9237.36
12/19/2009,9237.53
12/19/2009,9279.59
12/19/2009,9297.98
12/19/2009,9300.62
12/19/2009,9333.59
12/19/2009,9348.81
12/19/2009,9349.22
12/19/2009,9314.49
12/19/2009,9115.81
12/19/2009,9115.06
12/19/2009,8967.18
12/19/2009,8764.84
12/19/2009,8555.3
12/19/2009,8464.15
12/19/2009,8506.73
12/19/2009,8555.91
12/19/2009,8421.17
12/19/2009,8204.54
12/19/2009,8155.53
12/19/2009,8117.47
12/19/2009,7996.79
12/19/2009,7769.66
12/19/2009,7497.56
12/20/2009,7338.69
12/20/2009,7087.13
12/20/2009,6923.41
12/20/2009,6659.54
12/20/2009,6496.42
12/20/2009,6317.67
12/20/2009,6248.72
12/20/2009,6211.5
12/20/2009,6201.51
12/20/2009,6283.6
12/20/2009,6277.44
12/20/2009,6372.05
12/20/2009,6573.42
12/20/2009,6778.62
12/20/2009,7094.66
12/20/2009,7517.92
12/20/2009,7784.12
12/20/2009,8082.3
12/20/2009,8240.44
12/20/2009,8352.72
12/20/2009,8412.89
12/20/2009,8434.1
12/20/2009,8434.14
12/20/2009,8412.09
12/20/2009,8451.67
12/20/2009,8403.79
12/20/2009,8350.14
12/20/2009,8266.91
12/20/2009,8309.37
12/20/2009,8256.5
12/20/2009,8365.22
12/20/2009,8346.57
12/20/2009,8419.14
12/20/2009,8371.16
12/20/2009,8458.74
12/20/2009,8440.88
12/20/2009,8402.5
12/20/2009,8409.34
12/20/2009,8346.26
12/20/2009,8478.94
12/20/2009,8533.34
12/20/2009,8396.2
12/20/2009,8206.64
12/20/2009,8180.44
12/20/2009,7986.01
12/20/2009,7846.58
12/20/2009,7669.17
12/20/2009,7446.21
12/21/2009,7268.97
12/21/2009,7133.32
12/21/2009,6995.22
12/21/2009,6740.54
12/21/2009,6597.67
12/21/2009,6509.81
12/21/2009,6382.97
12/21/2009,6421.74
12/21/2009,6487.62
12/21/2009,6756.05
12/21/2009,6993.45
12/21/2009,7379.78
12/21/2009,7928.6
12/21/2009,8371.9
12/21/2009,8884.08
12/21/2009,9221.18
12/21/2009,9570.82
12/21/2009,9790.68
12/21/2009,10001.97
12/21/2009,10173.24
12/21/2009,10255.57
12/21/2009,10364.77
12/21/2009,10381.53
12/21/2009,10457.4
12/21/2009,10552.01
12/21/2009,10640.9
12/21/2009,10707.43
12/21/2009,10704.12
12/21/2009,10593.8
12/21/2009,10587.37
12/21/2009,10581.13
12/21/2009,10580.71
12/21/2009,10715.93
12/21/2009,10545.91
12/21/2009,10441.22
12/21/2009,10110.5
12/21/2009,9942.23
12/21/2009,9685.33
12/21/2009,9515.83
12/21/2009,9558.48
12/21/2009,9468.75
12/21/2009,9197.2
12/21/2009,8988.38
12/21/2009,8930.88
12/21/2009,8754.18
12/21/2009,8674.86
12/21/2009,8511.27
12/21/2009,8233.39
12/22/2009,8009.89
12/22/2009,7816.66
12/22/2009,7570.61
12/22/2009,7293.19
12/22/2009,6982.73
12/22/2009,6803.98
12/22/2009,6666.02
12/22/2009,6636.71
12/22/2009,6727.47
12/22/2009,6932.27
12/22/2009,7100.08
12/22/2009,7541.2
12/22/2009,8100.67
12/22/2009,8476.32
12/22/2009,8966.65
12/22/2009,9322.94
12/22/2009,9661.61
12/22/2009,10021.45
12/22/2009,10218.05
12/22/2009,10461.39
12/22/2009,10580.8
12/22/2009,10776.13
12/22/2009,10903.57
12/22/2009,11095.89
12/22/2009,11192.92
12/22/2009,11425.21
12/22/2009,11505.1
12/22/2009,11574.85
12/22/2009,11637.83
12/22/2009,11648.13
12/22/2009,11654.75
12/22/2009,11673.63
12/22/2009,11708.24
12/22/2009,11622.3
12/22/2009,11504.99
12/22/2009,11189.07
12/22/2009,10994.81
12/22/2009,10588.34
12/22/2009,10341.24
12/22/2009,10295.88
12/22/2009,10299.28
12/22/2009,10074.23
12/22/2009,9728.48
12/22/2009,9639.63
12/22/2009,9344.84
12/22/2009,9023.74
12/22/2009,8808.23
12/22/2009,8473.88
12/23/2009,8140.31
12/23/2009,7812.64
12/23/2009,7575.88
12/23/2009,7267
12/23/2009,6966.04
12/23/2009,6743.28
12/23/2009,6659.87
12/23/2009,6701.53
12/23/2009,6721.38
12/23/2009,6888.33
12/23/2009,6954.96
12/23/2009,7393.04
12/23/2009,7919.74
12/23/2009,8391.37
12/23/2009,8826.64
12/23/2009,9300.04
12/23/2009,9753.04
12/23/2009,10131.59
12/23/2009,10392.52
12/23/2009,10635.3
12/23/2009,10858.01
12/23/2009,11049.55
12/23/2009,11206.23
12/23/2009,11381.66
12/23/2009,11469.45
12/23/2009,11600.18
12/23/2009,11729.58
12/23/2009,11870.5
12/23/2009,11975.84
12/23/2009,12037.92
12/23/2009,11958.2
12/23/2009,11849.11
12/23/2009,11754.31
12/23/2009,11589
12/23/2009,11549.87
12/23/2009,11254.89
12/23/2009,10968.56
12/23/2009,10642.52
12/23/2009,10442.06
12/23/2009,10397.22
12/23/2009,10400.72
12/23/2009,10232.76
12/23/2009,9891.33
12/23/2009,9765.57
12/23/2009,9545.16
12/23/2009,9318.62
12/23/2009,8961.57
12/23/2009,8578.31
12/24/2009,8291.48
12/24/2009,7956.42
12/24/2009,7660.47
12/24/2009,7329.29
12/24/2009,7016.94
12/24/2009,6782.82
12/24/2009,6756.02
12/24/2009,6740.26
12/24/2009,6797.52
12/24/2009,6931.79
12/24/2009,6996.38
12/24/2009,7420.91
12/24/2009,7839.09
12/24/2009,8245.03
12/24/2009,8751.04
12/24/2009,9228.53
12/24/2009,9602.51
12/24/2009,10032.27
12/24/2009,10339.02
12/24/2009,10567.93
12/24/2009,10806.95
12/24/2009,11006.96
12/24/2009,11196.92
12/24/2009,11324.18
12/24/2009,11329.81
12/24/2009,11454.28
12/24/2009,11446.88
12/24/2009,11506.67
12/24/2009,11462.51
12/24/2009,11422.82
12/24/2009,11278.07
12/24/2009,11210.4
12/24/2009,11047.25
12/24/2009,10760.57
12/24/2009,10438.11
12/24/2009,9925.68
12/24/2009,9591.66
12/24/2009,9286.87
12/24/2009,9125.62
12/24/2009,9157.02
12/24/2009,9155.01
12/24/2009,9002.11
12/24/2009,8793.31
12/24/2009,8893.36
12/24/2009,8790.53
12/24/2009,8702.8
12/24/2009,8497.61
12/24/2009,8161.36
12/25/2009,7906.33
12/25/2009,7589.33
12/25/2009,7279.77
12/25/2009,6942.98
12/25/2009,6619.93
12/25/2009,6406.01
12/25/2009,6281.36
12/25/2009,6196.28
12/25/2009,6158.21
12/25/2009,6214.07
12/25/2009,6249.31
12/25/2009,6398.69
12/25/2009,6620.94
12/25/2009,6863.03
