date,seasonal
12/24/2009,429.7010323
12/25/2009,-1593.552732
12/26/2009,-1972.071106
12/27/2009,-1643.271124
12/28/2009,-1240.58505
12/29/2009,-782.1635089
12/30/2009,-729.4673712
12/31/2009,-686.072315
1/1/2010,-1069.801719
1/2/2010,-854.6506433
1/3/2010,-1473.157924
1/4/2010,-632.2753314
1/5/2010,-47.1111285
1/6/2010,145.8784682
1/7/2010,-309.9052589
1/8/2010,49.15900147
1/9/2010,363.9192204
1/10/2010,221.6212809
1/11/2010,703.9331697
1/12/2010,1855.19976
1/13/2010,889.5819195
1/14/2010,-72.35613939
1/15/2010,105.0893792
1/16/2010,-513.4688282
1/17/2010,-969.8122921
1/18/2010,-359.5946608
1/19/2010,-359.696697
1/20/2010,84.79788449
1/21/2010,1069.638282
1/22/2010,1856.37663
1/23/2010,689.5429208
1/24/2010,-825.2112268
1/25/2010,413.3403217
1/26/2010,403.1084527
1/27/2010,678.8065006
1/28/2010,581.3400597
1/29/2010,503.1038923
1/30/2010,-504.7239308
1/31/2010,-454.4949304
2/1/2010,669.3433793
2/2/2010,244.6424588
2/3/2010,492.4918782
2/4/2010,939.0019054
2/5/2010,1215.761072
2/6/2010,173.1209543
2/7/2010,-133.7950669
2/8/2010,986.9868661
2/9/2010,1140.311704
2/10/2010,978.7632537
2/11/2010,958.0091942
2/12/2010,1060.173763
2/13/2010,-323.5495499
2/14/2010,-696.3640841
2/15/2010,412.2112297
2/16/2010,179.6646811
2/17/2010,20.4729329
2/18/2010,-61.89706338
2/19/2010,29.11241494
2/20/2010,-314.322152
2/21/2010,-389.1615612
2/22/2010,1075.513494
2/23/2010,856.6415467
2/24/2010,177.2625105
2/25/2010,60.46667296
2/26/2010,-33.25954625
2/27/2010,-319.8434485
2/28/2010,-732.2181503
3/1/2010,-409.3671779
3/2/2010,-46.74504007
3/3/2010,-30.47964207
3/4/2010,-26.12055125
3/5/2010,-89.87734184
3/6/2010,-469.4396351
3/7/2010,-974.5759847
3/8/2010,47.08803212
3/9/2010,181.673381
3/10/2010,-265.6600155
3/11/2010,-431.3954975
3/12/2010,-427.1928152
3/13/2010,-1052.281021
3/14/2010,-1465.409057
3/15/2010,-473.9984736
3/16/2010,-43.34732343
3/17/2010,-159.3587297
3/18/2010,-118.2806162
3/19/2010,108.2341015
3/20/2010,-365.8029077
3/21/2010,-512.4696335
3/22/2010,-141.0728287
3/23/2010,444.5751111
3/24/2010,333.2868701
3/25/2010,259.2478287
3/26/2010,538.1177837
3/27/2010,-356.2388552
3/28/2010,-812.68356
3/29/2010,-61.23300727
3/30/2010,191.9550276
3/31/2010,-167.5490719
4/1/2010,-340.5387479
4/2/2010,-1261.297287
4/3/2010,-1159.142785
4/4/2010,-1729.72576
4/5/2010,-1486.635658
4/6/2010,-405.6910226
4/7/2010,-370.9577109
4/8/2010,-359.353393
4/9/2010,-540.3998194
4/10/2010,-1414.718351
4/11/2010,-1602.097549
4/12/2010,-919.3258999
4/13/2010,-601.9032643
4/14/2010,-442.1467138
4/15/2010,-425.8188054
4/16/2010,-484.364095
4/17/2010,-1058.296608
4/18/2010,-1443.304536
4/19/2010,-542.6107283
4/20/2010,-173.7753623
4/21/2010,-311.8703949
4/22/2010,-305.9323164
4/23/2010,-345.0172977
4/24/2010,-1043.631001
4/25/2010,-1477.639734
4/26/2010,-1402.119686
4/27/2010,-217.0722563
4/28/2010,-351.8513648
4/29/2010,-307.1144472
4/30/2010,-169.3786232
5/1/2010,-857.3051383
5/2/2010,-1288.961728
5/3/2010,-484.3087197
5/4/2010,-107.2174364
5/5/2010,-262.2912887
5/6/2010,-172.0001216
5/7/2010,-127.8077438
5/8/2010,-723.0892681
5/9/2010,-1254.989218
5/10/2010,-473.3270594
5/11/2010,10.82684837
5/12/2010,175.5128061
5/13/2010,198.1360258
5/14/2010,156.8658846
5/15/2010,-400.5834685
5/16/2010,-834.1565468
5/17/2010,34.98135265
5/18/2010,500.5406779
5/19/2010,291.3647084
5/20/2010,242.3187641
5/21/2010,193.1496883
5/22/2010,-246.0824082
5/23/2010,-550.1990812
5/24/2010,23.40482541
5/25/2010,388.4131096
5/26/2010,391.8826179
5/27/2010,278.6453712
5/28/2010,177.8640765
5/29/2010,-149.9091245
5/30/2010,-562.6782115
5/31/2010,147.63556
6/1/2010,564.551222
6/2/2010,420.7077078
6/3/2010,343.8959847
6/4/2010,410.9320897
6/5/2010,-203.5282816
6/6/2010,-385.4202417
6/7/2010,431.591992
6/8/2010,596.4138373
6/9/2010,1120.741376
6/10/2010,1167.701995
