日期,归一化
2019/10/25,0.684209988
2019/10/26,0.676559927
2019/10/27,0.637757346
2019/11/3,0.702608998
2019/11/19,0.740859302
2019/11/23,0.744940017
2019/11/25,0.70561584
2019/12/7,0.75520828
2019/12/23,0.725395543
2019/12/24,0.722286427
2019/12/27,0.674545138
2020/1/8,0.803246162
2020/2/29,0.777268683
2020/3/6,0.72509895
2020/3/7,0.739447927
2020/3/8,0.678779263
2020/3/11,0.71493296
2020/3/18,0.724464854
2020/3/19,0.709655645
2020/3/25,0.69355779
2020/3/27,0.664195056
2020/3/28,0.651257453
2020/3/29,0.631406159
2020/4/2,0.642993751
2020/4/3,0.628225452
2020/4/5,0.61768105
2020/4/6,0.615788989
2020/4/7,0.623029956
2020/4/8,0.660646164
2020/4/10,0.649846078
2020/4/11,0.617077636
2020/4/12,0.595497919
2020/4/18,0.648291521
2020/4/19,0.59993659
2020/4/20,0.606829827
2020/4/21,0.619971977
2020/4/22,0.638524397
2020/4/23,0.629176596
2020/4/24,0.623418595
2020/4/25,0.606788918
2020/4/26,0.591181975
2020/4/27,0.585996707
2020/4/28,0.615073074
2020/4/29,0.622907228
2020/4/30,0.608098019
2020/5/1,0.613948065
2020/5/2,0.603822985
2020/5/3,0.614909437
2020/5/4,0.599026356
2020/5/5,0.640805097
2020/5/6,0.635159598
2020/5/9,0.622109494
2020/5/11,0.598811581
2020/5/12,0.639097129
2020/5/13,0.636264152
2020/5/14,0.633860724
2020/5/15,0.648035837
2020/5/16,0.630005011
2020/5/17,0.623070865
2020/5/18,0.621526535
2020/5/19,0.647902881
2020/5/20,0.656677951
2020/5/21,0.656493858
2020/5/22,0.67005533
2020/5/28,0.728238747
2020/5/29,0.699714657
2020/5/30,0.652679055
2020/5/31,0.631252749
2020/6/6,0.796884748
2020/6/10,0.878693353
2020/6/11,0.736584268
2020/6/12,0.722961433
2020/6/13,0.720240956
2020/6/14,0.696891907
2020/6/15,0.705697659
2020/6/22,0.768289066
2020/6/23,0.786616484
2020/8/2,0.763656075
2020/8/3,0.758931037
2020/8/4,0.781553944
2020/8/18,0.83023615
2020/9/3,0.798285895
2020/9/5,0.713940906
2020/9/7,0.714595457
2020/9/8,0.734058112
2020/9/9,0.748969594
2020/9/10,0.75416509
2020/9/11,0.743313867
2020/9/12,0.7187989
2020/9/13,0.706894259
2020/9/14,0.707865858
2020/9/15,0.730048989
2020/9/16,0.737535412
2020/9/17,0.730110353
2020/9/18,0.713286356
2020/9/19,0.658263191
2020/9/20,0.614152613
2020/9/21,0.627877722
2020/9/22,0.681008826
2020/9/23,0.695950991
2020/9/24,0.708193133
2020/9/25,0.699530564
2020/9/26,0.698978287
2020/9/27,0.68864866
2020/9/28,0.680865643
2020/9/29,0.650684721
2020/9/30,0.645877865
2020/10/1,0.659275699
2020/10/2,0.656319993
2020/10/3,0.643863076
2020/10/4,0.615604897
2020/10/5,0.62691635
2020/10/6,0.663837099
2020/10/7,0.6662303
2020/10/8,0.697362365
2020/10/9,0.687482741
2020/10/10,0.660155251
2020/10/11,0.636601655
2020/10/12,0.666250754
2020/10/13,0.672039437
2020/10/14,0.665862115
2020/10/15,0.661873447
